NU_CONTRATO;CO_PRODUTO;CO_UNIDADE;VR_EXPOSICAO;VR_PROVISAO;QT_DIAS_ATRASO
00000000000000000001;101;536;838,08;838,08;9963
00000000000000000002;101;1060;17591,86;17591,86;9202
00000000000000000003;101;47;6110,21;6110,21;9932
00000000000000000004;101;1187;7964,41;7964,41;9466
00000000000000000005;101;807;138332,58;138332,58;9830
00000000000000000006;101;472;5740,57;5740,57;5697
00000000000000000007;101;1504;1179,84;1179,84;9043
00000000000000000008;101;368;2603,79;2603,79;9001
00000000000000000009;101;247;2679,77;2679,77;7434
00000000000000000010;101;804;3988,58;3988,58;9372
00000000000000000011;101;618;2179,73;2179,73;9889
00000000000000000012;101;125;7480,4;7480,4;9398
00000000000000000013;101;405;5580,66;5580,66;9159
00000000000000000014;101;2832;4677,19;4677,19;5438
00000000000000000015;101;961;401,48;401,48;8406
00000000000000000016;101;1005;3134,9;3134,9;9270
00000000000000000017;101;2191;10405,3;10405,3;9487
00000000000000000018;101;960;7489,32;7489,32;7661
00000000000000000019;101;991;3997,57;3997,57;7403
00000000000000000020;101;405;778,1;778,1;9060
00000000000000000021;101;132;57884,78;57884,78;9418
00000000000000000022;101;1360;4074,81;4074,81;7674
00000000000000000023;101;1084;16818,14;16818,14;9314
00000000000000000024;101;739;3111,12;3111,12;7849
00000000000000000025;101;1628;8283,45;8283,45;9013
00000000000000000026;101;788;13439,46;13439,46;9463
00000000000000000027;101;973;7238,19;7238,19;9890
00000000000000000028;101;674;3052,38;3052,38;8238
00000000000000000029;101;948;12281,6;12281,6;9368
00000000000000000030;101;545;39249,87;39249,87;8641
00000000000000000031;101;18;77035,13;77035,13;9161
00000000000000000032;101;1942;160598,36;160598,36;9347
00000000000000000033;101;213;1178,83;1178,83;9054
00000000000000000034;101;480;15854,7;15854,7;9543
00000000000000000035;101;1448;31827,31;31827,31;9501
00000000000000000036;101;69;4749,1;4749,1;9358
00000000000000000037;101;1230;11479,75;11479,75;7530
00000000000000000038;101;1344;1,72;1,72;10535
00000000000000000039;101;1633;2715,35;2715,35;9347
00000000000000000040;101;186;1840,57;1840,57;9915
00000000000000000041;101;1519;3161,62;3161,62;9949
00000000000000000042;101;467;551,41;551,41;7738
00000000000000000043;101;739;8790,34;8790,34;9123
00000000000000000044;101;615;469,31;469,31;9538
00000000000000000045;101;173;2361,95;2361,95;8154
00000000000000000046;101;222;2580,09;2580,09;9890
00000000000000000047;101;1069;1525,45;1525,45;9879
00000000000000000048;101;917;1424,32;1424,32;10040
00000000000000000049;101;282;15651,34;15651,34;9337
00000000000000000050;101;689;6480,64;6480,64;8822
00000000000000000001;102;628;1085,72;5,43;2
00000000000000000002;102;2538;866,35;4,33;2
00000000000000000003;102;2937;3802,5;19,01;2
00000000000000000004;102;2143;0;0;0
00000000000000000005;102;4437;2597,31;12,99;2
00000000000000000006;102;3411;1097,95;5,49;2
00000000000000000007;102;297;784,72;3,92;2
00000000000000000008;102;4462;1886,05;9,43;2
