CO_UNIDADE;NO_UNIDADE
2;PLANALTO, DF
3;AEROPORTO PRESIDENTE JK, DF
4;BERNARDO SAYAO, DF
5;CONGRESSO, DF
6;MEXICO, DF
7;JOSE SEABRA, DF
8;TAGUATINGA, DF
9;ALMIRANTE SANDERSON DE QUEIROZ, DF
10;HOSPITAL FORCAS ARMADAS - HFA, DF
11;MONTESE, DF
12;ANHANGUERA, GO
13;24 DE OUTUBRO, GO
14;ANAPOLIS, GO
15;ITUMBIARA, GO
16;PAIAGUAS, MT
17;CENTRO CAMPO GRANDE, MS
18;CORUMBA, MS
19;FAXINAL DOS GUEDES, SC
20;VITORIA-REGIA, AM
22;CIRIO, PA
23;ABAETETUBA, PA
24;BRAGANCA, PA
25;CAPANEMA, PA
26;SANTAREM, PA
27;GONCALVES DIAS, MA
28;CAXIAS, MA
29;CONSELHEIRO SARAIVA, PI
30;PARNAIBA, PI
31;IRACEMA, CE
32;JUAZEIRO DO NORTE, CE
33;RIBEIRA, RN
34;ALECRIM, RN
35;POTIGUAR, RN
36;CABO BRANCO, PB
37;TRINCHEIRAS, PB
38;BANANEIRAS, PB
39;CABEDELO, PB
40;CAJAZEIRAS, PB
41;CAMPINA GRANDE, PB
42;GUARABIRA, PB
43;PATOS, PB
44;MAMANGUAPE, PB
45;AV GUARARAPES, PE
46;AFOGADOS, PE
47;AEROPORTO RECIFE, PE
48;ENCRUZILHADA, PE
49;CASA AMARELA, PE
50;CAIS DO APOLO, PE
51;CARUARU, PE
52;GARANHUNS, PE
53;LIMOEIRO, PE
54;NAZARE DA MATA, PE
55;ROSA DA FONSECA, AL
56;ARAPIRACA, AL
57;PALMEIRA DOS INDIOS, AL
58;PENEDO, AL
59;SERIGY, SE
60;MARCELO MONTALVAO, SE
61;DAS MERCES, BA
62;CALCADA, BA
63;COMERCIO, BA
64;BAIXA DOS SAPATEIROS, BA
65;ALAGOINHAS, BA
66;AMARGOSA, BA
67;CACHOEIRA, BA
68;FEIRA DE SANTANA, BA
69;ILHEUS, BA
70;ITABUNA, BA
71;JEQUIE, BA
72;NAZARE, BA
73;SANTO AMARO, BA
74;SAO GONCALO DOS CAMPOS, BA
75;EUNAPOLIS, BA
76;SENHOR DO BONFIM, BA
77;SERRINHA, BA
78;NOSSA SENHORA DO AMPARO, BA
79;VITORIA DA CONQUISTA, BA
80;JUAZEIRO, BA
81;TUPINAMBAS, MG
82;BARREIRO, MG
83;BARRO PRETO, MG
84;SECULO, MG
85;INCONFIDENCIA, MG
86;FLORESTA, MG
87;HORTO FLORESTAL, MG
89;PADRE EUSTAQUIO, MG
90;IMPERADOR, MG
91;SAVASSI, MG
92;RENASCENCA, MG
93;SANTA EFIGENIA, MG
94;GUAJAJARAS, MG
95;ALFENAS, MG
96;ARAGUARI, MG
97;ARAXA, MG
98;BAEPENDI, MG
99;BARBACENA, MG
100;BOA ESPERANCA, MG
101;CAMBUQUIRA, MG
102;CAMPANHA, MG
103;CAMPO BELO, MG
104;CARANDAI, MG
105;CARANGOLA, MG
106;CARATINGA, MG
107;CASSIA, MG
108;CATAGUASES, MG
109;CAXAMBU, MG
110;CONCEICAO DO RIO VERDE, MG
111;CURVELO, MG
112;DIAMANTINA, MG
113;DIVINOPOLIS, MG
114;ELOI MENDES, MG
115;FORMIGA, MG
116;GOVERNADOR VALADARES, MG
117;GUAXUPE, MG
118;HORTO DE IPATINGA, MG
119;ITABIRA, MG
120;ITABIRITO, MG
121;ITAJUBA, MG
122;ITANHANDU, MG
123;ITAPECERICA, MG
124;ITAUNA, MG
125;ITUIUTABA, MG
126;MANCHESTER, MG
127;CONSELHEIRO LAFAIETE, MG
128;LAMBARI, MG
129;LAVRAS, MG
131;MANHUACU, MG
132;MONTES CLAROS, MG
133;MURIAE, MG
134;NOVA LIMA, MG
135;OLIVEIRA, MG
136;OURO PRETO, MG
137;PARA DE MINAS, MG
138;PARACATU, MG
139;PARAGUACU, MG
140;PASSA QUATRO, MG
141;PASSOS, MG
142;PATOS DE MINAS, MG
143;PATROCINIO, MG
144;PEDRO LEOPOLDO, MG
145;POCOS DE CALDAS, MG
146;PONTE NOVA, MG
147;POUSO ALEGRE, MG
148;SANTANA DO JACARE, MG
149;SANTOS DUMONT, MG
150;SAO GONCALO DO SAPUCAI, MG
151;SAO JOAO DEL REI, MG
152;SAO LOURENCO, MG
153;SAO SEBASTIAO DO PARAISO, MG
154;SETE LAGOAS, MG
155;TEOFILO OTONI, MG
156;TRES CORACOES, MG
157;TRES PONTAS, MG
158;TUPACIGUARA, MG
159;UBA, MG
160;UBERABA, MG
161;UBERLANDIA, MG
162;TUBAL VILELA, MG
163;VARGINHA, MG
164;VICOSA, MG
165;VIRGINIA, MG
166;VISCONDE DO RIO BRANCO, MG
167;BEIRAMAR, ES
168;ENSEADA, ES
169;ALEGRE, ES
170;AFONSO CLAUDIO, ES
171;CACHOEIRO DE ITAPEMIRIM, ES
172;COLATINA, ES
173;VILA VELHA, ES
174;NITEROI, RJ
175;ICARAI, RJ
176;BARRA MANSA, RJ
177;BARRA DO PIRAI, RJ
178;BOM JESUS DO ITABAPOANA, RJ
179;CABO FRIO, RJ
180;CAMPOS, RJ
